OrderID,MenuName
1,มะพร้าวปั่นเพิ่มบุกและไอศกรีม
2,ไอศกรีมมะพร้าวอ่อนใส่แก้วเพิ่มบุก
2,มะพร้าวปั่นเพิ่มบุกบราวช์
3,มะพร้าวปั่นเพิ่มไอศกรีม
4,มะพร้าวปั่นนมสด
5,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
5,พุดดิ้งมะพร้าวน้ำหอม
6,มะพร้าวปั่นเพิ่มไอศกรีม
6,มะพร้าวปั่นนมสด
7,มะพร้าวปั่นเพิ่มบุกและไอศกรีม
7,มะพร้าวปั่นกาแฟ
7,มะพร้าวปั่นเพิ่มไอศกรีม
7,มะพร้าวปั่นโอริโอ้
8,มะพร้าวปั่นเพิ่มบุกบราวช์
9,ไอศกรีมชุดจุใจขนาด500g
10,มะพร้าวปั่นกาแฟ
10,มะพร้าวปั่นนมสด
11,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
11,มะพร้าวปั่นนมสด
12,มะพร้าวปั่นเพิ่มบุกบราวช์
13,มะพร้าวปั่นกาแฟ
13,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
14,มะพร้าวปั่นกาแฟเพิ่มบุก
15,มะพร้าวปั่นนมสด
16,มะพร้าวปั่นนมสด
17,มะพร้าวปั่นนมสด
17,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
18,มะพร้าวปั่นเพิ่มไอศกรีม
19,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
19,มะพร้าวปั่นนมสด
20,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
20,พุดดิ้งมะพร้าวน้ำหอม
21,มะพร้าวปั่นเพิ่มไอศกรีม
21,ไอศกรีมชุดจุใจขนาด500g
22,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
23,มะพร้าวปั่นเพิ่มไอศกรีม
23,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
24,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
24,มะพร้าวปั่นนมสด
25,มะพร้าวปั่นนมสด
26,มะพร้าวปั่นนมสด
26,มะพร้าวปั่นเพิ่มไอศกรีม
26,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
27,มะพร้าวปั่นนมสด
28,มะพร้าวปั่นนมสด
29,น้ำมะพร้าวสดแท้100%ใส่แก้ว
29,มะพร้าวปั่นเพิ่มบุกบราวช์
30,ไอศกรีมมะพร้าวอ่อนใส่แก้วเพิ่มบุก
30,มะพร้าวแก้ว
31,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
31,มะพร้าวปั่นกาแฟ
32,มะพร้าวปั่นนมสด
33,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
34,มะพร้าวปั่นกาแฟ
