OrderID,MenuName
VEI33,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
33RWX,ไอศกรีมมะพร้าวอ่อนใส่แก้วเพิ่มบุก
2WWKS,ไอศกรีมชุดจุใจขนาด500g
05UQ6,มะพร้าวปั่นเพิ่มไอศกรีม
25OM0,มะพร้าวปั่นเพิ่มบุกและไอศกรีม
UM565,มะพร้าวปั่นเพิ่มบุกและไอศกรีม
6V8GC,มะพร้าวปั่นเพิ่มไอศกรีม
TF4MZ,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
YDE6P,มะพร้าวปั่นนมสด
7JOL5,มะพร้าวปั่นเพิ่มบุกบราวช์
UM565,มะพร้าวปั่นเพิ่มไอศกรีม
4OK3U,มะพร้าวปั่นนมสด
VEI33,พุดดิ้งมะพร้าวน้ำหอม
UM565,มะพร้าวปั่นกาแฟ
UM565,มะพร้าวปั่นโอริโอ้
4OK3U,มะพร้าวปั่นกาแฟ
TF4MZ,มะพร้าวปั่นนมสด
6V8GC,มะพร้าวปั่นนมสด
33RWX,มะพร้าวปั่นเพิ่มบุกบราวช์
I8TCM,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
Q7X5P,มะพร้าวปั่นนมสด
1UNW7,มะพร้าวปั่นนมสด
Y3CC7,มะพร้าวปั่นนมสด
B9E2S,มะพร้าวปั่นนมสด
HJXMI,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
IYEPG,มะพร้าวปั่นนมสด
KZZVR,มะพร้าวปั่นนมสด
071G4,มะพร้าวปั่นนมสด
071G4,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
B9E2S,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
2WMUS,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
DRBY4,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
1UNW7,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
IYEPG,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
HJXMI,มะพร้าวปั่นกาแฟ
RQUC9,มะพร้าวปั่นเพิ่มไอศกรีม
4C3BH,มะพร้าวปั่นเพิ่มไอศกรีม
DRBY4,มะพร้าวปั่นเพิ่มไอศกรีม
071G4,มะพร้าวปั่นเพิ่มไอศกรีม
3C2LE,มะพร้าวปั่นเพิ่มบุกบราวช์
GBWH7,มะพร้าวปั่นกาแฟเพิ่มบุก
4C3BH,ไอศกรีมชุดจุใจขนาด500g
2WMUS,พุดดิ้งมะพร้าวน้ำหอม
A2UL9,น้ำมะพร้าวสดแท้100%ใส่แก้ว
0H2OM,มะพร้าวแก้ว
LC1D8,มะพร้าวแก้ว
BMYRN,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
TQIKG,มะพร้าวปั่นกาแฟ
BMYRN,มะพร้าวปั่นกาแฟ
OBXAJ,มะพร้าวปั่นเพิ่มบุกบราวช์
0H2OM,ไอศกรีมมะพร้าวอ่อนใส่แก้วเพิ่มบุก
9MU4R,มะพร้าวปั่นเพิ่มบุกและไอศกรีม
A2UL9,มะพร้าวปั่นเพิ่มบุกและไอศกรีม
EQ3DP,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
OBXAJ,น้ำมะพร้าวสดแท้100%ใส่แก้ว
LC1D8,มะพร้าวปั่นนมสด
D9YL0,มะพร้าวปั่นนมสด
UFR6Y,มะพร้าวปั่นนมสด
TQIKG,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
BOZO3,มะพร้าวปั่นนมสด
HMRBV,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
KBVBV,มะพร้าวปั่นนมสด
CKQGG,มะพร้าวปั่นนมสด
8TVPC,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
8TVPC,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
Y1RO9,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
MQCMX,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
NBLOP,ไอศกรีมมะพร้าวอ่อนใส่แก้ว
Y1RO9,มะพร้าวปั่นกาแฟ
A7RXT,มะพร้าวปั่นเพิ่มไอศกรีม
CKQGG,มะพร้าวปั่นกาแฟ
27NKS,มะพร้าวปั่นโอริโอ้
Y4OB8,มะพร้าวปั่นเพิ่มบุกบราวช์
